,Year,Month,State,County,Rate
285501,1990,January,California,Glenn County,13.8
285502,1990,January,California,Nevada County,5.8
285503,1990,January,California,Yolo County,8.5
285504,1990,January,California,Sacramento County,4.7
285505,1990,January,California,Fresno County,12.5
285506,1990,January,California,Calaveras County,8.7
285507,1990,January,California,Marin County,2.4
285508,1990,January,California,Lassen County,14.0
285509,1990,January,California,Contra Costa County,3.8
285510,1990,January,California,Yuba County,12.4
285511,1990,January,California,Del Norte County,17.1
285512,1990,January,California,San Mateo County,2.5
285513,1990,January,California,Mono County,2.8
285514,1990,January,California,Merced County,14.0
285515,1990,January,California,Santa Cruz County,9.1
285516,1990,January,California,Ventura County,5.4
285517,1990,January,California,Placer County,4.4
285518,1990,January,California,Inyo County,7.1
285519,1990,January,California,Stanislaus County,12.4
285520,1990,January,California,Orange County,2.9
285521,1990,January,California,Trinity County,18.9
285522,1990,January,California,Alpine County,2.5
285523,1990,January,California,Madera County,11.8
285524,1990,January,California,Imperial County,21.8
285525,1990,January,California,Kings County,12.7
285526,1990,January,California,Mariposa County,9.2
285527,1990,January,California,San Benito County,12.8
285528,1990,January,California,Lake County,10.8
285529,1990,January,California,El Dorado County,5.0
285530,1990,January,California,Solano County,4.7
285531,1990,January,California,Los Angeles County,6.0
285532,1990,January,California,San Diego County,4.0
285533,1990,January,California,Alameda County,3.8
285534,1990,January,California,Colusa County,21.7
285535,1990,January,California,Sierra County,18.3
285536,1990,January,California,Tehama County,9.9
285537,1990,January,California,Modoc County,12.2
285538,1990,January,California,Amador County,6.8
285539,1990,January,California,San Joaquin County,10.7
285540,1990,January,California,Siskiyou County,16.5
285541,1990,January,California,Riverside County,5.3
285542,1990,January,California,San Francisco County,3.7
285543,1990,January,California,San Bernardino County,4.7
285544,1990,January,California,Santa Clara County,3.5
285545,1990,January,California,Tulare County,12.7
285546,1990,January,California,Shasta County,11.2
285547,1990,January,California,Santa Barbara County,4.9
285548,1990,January,California,Monterey County,13.9
285549,1990,January,California,Tuolumne County,9.2
285550,1990,January,California,Sutter County,16.7
285551,1990,January,California,Butte County,9.6
